plotnumber,treenumber,common name,dbh
33,4,Benguet Pine, 35.20 
33,5,Benguet Pine, 30.10 
33,6,Benguet Pine, 35.70 
33,7,Benguet Pine, 35.10 
33,8,Benguet Pine, 39.10 
33,9,Benguet Pine, 40.10 
33,10,Benguet Pine, 32.20 
33,11,Benguet Pine, 39.10 
33,12,Benguet Pine, 34.90 
33,13,Benguet Pine, 50.50 
33,14,Benguet Pine, 46.20 
33,15,Benguet Pine, 47.30 
33,16,Benguet Pine, 39.70 
33,17,Benguet Pine, 35.60 
33,18,Benguet Pine, 34.10 
33,19,Benguet Pine, 57.30 
33,20,Benguet Pine, 50.26 
33,21,Benguet Pine, 38.40 
33,22,Alnus, 45.50 
33,23,Benguet Pine, 42.50 
33,24,Benguet Pine, 44.40 
34,1,Benguet Pine, 30.50 
34,1,Benguet Pine, 40.70 
34,1,Benguet Pine, 41.70 
34,1,Benguet Pine, 39.60 
34,2,Benguet Pine, 36.90 
34,3,Benguet Pine, 34.50 
34,4,Benguet Pine, 35.50 
34,5,Alnus, 39.10 
34,6,Alnus, 54.30 
34,7,Alnus, 45.80 
34,8,Benguet Pine, 46.40 
34,9,Benguet Pine, 43.20 
34,10,Benguet Pine, 41.40 
34,11,Benguet Pine, 37.90 
34,12,Benguet Pine, 38.70 
34,13,Benguet Pine, 37.30 
34,14,Benguet Pine, 31.10 
34,15,Benguet Pine, 39.50 
34,16,Benguet Pine, 31.70 
34,17,Benguet Pine, 38.20 
34,18,Benguet Pine, 38.00 
34,19,Benguet Pine, 40.40 
34,20,Benguet Pine, 39.20 
34,21,Benguet Pine, 31.70 
34,22,Benguet Pine, 48.80 
34,23,Benguet Pine, 47.10 
34,24,Benguet Pine, 36.60 
34,25,Benguet Pine, 37.50 
34,26,Benguet Pine, 37.00 
34,27,Benguet Pine, 33.40 
34,28,Benguet Pine, 33.10 
34,29,Benguet Pine, 39.00 
34,30,Benguet Pine, 35.20 
35,1,Benguet Pine, 65.40 
35,2,Benguet Pine, 32.60 
35,3,Benguet Pine, 34.30 
35,4,Benguet Pine, 37.50 
35,5,Benguet Pine, 43.60 
35,6,Benguet Pine, 67.80 
35,7,Benguet Pine, 80.10 
35,8,Benguet Pine, 34.30 
35,9,Benguet Pine, 37.90 
35,10,Benguet Pine, 38.60 
35,11,Benguet Pine, 46.70 
35,12,Benguet Pine, 52.80 
35,13,Benguet Pine, 56.10 
35,14,Benguet Pine, 83.60 
35,15,Benguet Pine, 48.50 
35,16,Benguet Pine, 34.70 
35,17,Benguet Pine, 34.90 
35,18,Benguet Pine, 32.70 
36,1,Benguet Pine, 69.00 
36,2,Benguet Pine, 38.00 
36,3,Benguet Pine, 36.00 
36,4,Benguet Pine, 40.00 
37,1,Benguet Pine, 73.40 
37,2,Benguet Pine, 67.10 
37,3,Benguet Pine, 56.30 
37,4,Benguet Pine, 52.90 
37,5,Benguet Pine, 48.90 
37,6,Benguet Pine, 53.80 
37,7,Benguet Pine, 64.10 
37,8,Benguet Pine, 62.19 
37,9,Benguet Pine, 59.21 
38,1,Benguet Pine, 31.20 
38,2,Benguet Pine, 35.30 
38,3,Benguet Pine, 30.60 
38,4,Benguet Pine, 37.00 
38,5,Benguet Pine, 30.80 
39,1,Benguet Pine, 39.40 
39,2,Benguet Pine, 68.70 
39,3,Benguet Pine, 50.80 
39,4,Benguet Pine, 52.40 
40,1,Benguet Pine, 30.60 
40,2,Alnus, 37.80 
41,0,,
42,0,,
43,0,,
44,1,Benguet Pine, 39.20 
44,2,Benguet Pine, 34.00 
44,3,Benguet Pine, 56.60 
44,4,Benguet Pine, 31.80 
44,5,Benguet Pine, 30.60 
44,6,Benguet Pine, 40.80 
44,7,Benguet Pine, 32.10 
44,8,Benguet Pine, 30.90 
44,9,Benguet Pine, 39.60 
44,10,Benguet Pine, 56.60 
44,11,Benguet Pine, 34.00 
44,12,Benguet Pine, 39.20 
44,13,Benguet Pine, 49.30 
44,14,Benguet Pine, 65.70 
44,15,Benguet Pine, 46.80 
44,16,Benguet Pine, 49.90 
44,17,Benguet Pine, 59.80 
44,18,Benguet Pine, 53.20 
44,19,Benguet Pine, 53.40 
44,20,Benguet Pine, 51.50 
44,21,Benguet Pine, 44.50 
44,22,Benguet Pine, 37.50 
44,23,Benguet Pine, 42.10 
44,24,Benguet Pine, 66.40 
44,25,Benguet Pine, 49.50 
44,26,Benguet Pine, 43.70 
44,27,Benguet Pine, 47.10 
44,28,Benguet Pine, 34.10 
44,29,Benguet Pine, 32.30 
44,30,Benguet Pine, 36.60 
44,31,Benguet Pine, 47.80 
44,32,Benguet Pine, 55.90 
44,33,Benguet Pine, 49.10 
44,34,Benguet Pine, 34.30 
44,35,Benguet Pine, 36.10 
44,36,Benguet Pine, 33.90 
44,37,Benguet Pine, 35.50 
45,1,Benguet Pine, 34.40 
45,2,Benguet Pine, 34.40 
45,3,Benguet Pine, 45.90 
45,4,Benguet Pine, 37.80 
45,5,Benguet Pine, 34.50 
45,6,Benguet Pine, 42.80 
45,7,Benguet Pine, 49.50 
45,8,Benguet Pine, 50.80 
45,9,Benguet Pine, 35.50 
45,10,Benguet Pine, 34.40 
45,11,Benguet Pine, 50.60 
45,12,Benguet Pine, 36.80 
45,13,Benguet Pine, 74.40 
45,14,Benguet Pine, 36.70 
45,15,Benguet Pine, 36.70 
45,16,Benguet Pine, 51.70 
45,17,Benguet Pine, 46.80 
45,18,Benguet Pine, 45.40 
45,19,Benguet Pine, 59.60 
45,20,Benguet Pine, 40.30 
45,21,Benguet Pine, 48.70 
45,22,Benguet Pine, 36.90 
45,23,Benguet Pine, 41.70 
45,24,Benguet Pine, 63.60 
45,25,Benguet Pine, 39.00 
45,26,Benguet Pine, 38.50 
45,27,Benguet Pine, 33.70 
45,28,Benguet Pine, 55.50 
45,29,Benguet Pine, 31.50 
45,30,Benguet Pine, 42.50 
45,31,Benguet Pine, 52.80 
45,32,Benguet Pine, 31.60 
45,33,Benguet Pine, 39.10 
